标题,关键字
基于SSM框架的云节系统设计与实现,"['“云节”系统', 'SSM框架', '传统文化']"
基于Web的在线学习系统的设计,"['万维网', 'MySQL数据库', '在线学习', 'SSM框架', '资源管理']"
基于分布式技术的人脸识别测试方法的研究,"['Hadoop', 'SSM', '人脸识别']"
基于微信小程序的大学生互助平台设计与实现,"['微信小程序', 'SSM框架', 'MySQL', '大学生互助']"
基于SSM框架的电力电缆附件电子商城系统设计与实现,"['SSM框架', '电力', '电缆', '电子商城']"
面向高校学生工作问答系统的研究与实现,"['学生工作', 'SSM框架', '信息化']"
基于Java EE架构的WIKI平台研究与设计,"['WIKI', 'Java EE', 'SSM', '平台设计']"
基于SSM的高校实验室设备故障报修综合管理平台设计与实现,"['SSM', '设备', '报修', '系统']"
基于SSM的IMSI与人像采集比对系统设计与实现,"['SSM', 'IMSI', '人像', '营区手机管理']"
基于SSM框架的宠物医院系统设计,"['宠物医院', 'SSM框架', 'MySQL', 'Java']"
基于个性倾向分析的宿舍智能分配系统的设计与实现,"['宿舍', '智能', '分配']"
基于Andro停车场车位调配系统的设计,"['停车调配', '系统开发', '编程语言', '数据库', '项目式教学']"
基于微信小程序开发的高校校车订座系统的设计与实现,"['校车订座', 'OTO模式', '管理统计', 'SSM框架', '微信小程序']"
基于SSM框架的无人机监管系统,"['无人机监管', 'SSM', 'Vue', 'MySQL数据库']"
基于SSM的C语言在线考试系统的设计,"['B/S架构', 'JavaWeb', 'SSM软件设计框架', 'MySQL数据库', 'C语言在线考试系统']"
Java Web在高校图书管理系统中的应用研究,['nan']
基于移动终端的睡眠障碍患者回访系统开发,"['回访系统', '浏览器/服务器(B/S)架构', 'SSM框架']"
海水养殖水质监测与分析系统设计与实现,"['水产养殖', '监测', '分析与预测', 'SSM框架', 'LoRa']"
校企合作背景下的企业兼职教师管理平台的设计与实现,"['企业兼职教师', 'SpringBoot', 'SSM']"
基于BS的高校教师工作量管理系统,"['地方高校', '工作量管理', 'SSM框架', 'B/S架构']"
基于工业互联网的产品数字化铭牌应用设计,"['数字化铭牌', '煤矿工业互联网平台架构', 'SSM框架', '平台SaaS化', '微服务架构']"
核电厂辐射工作许可证管理系统设计,"['辐射工作许可证', 'SSM', 'MySQL']"
电网通道资源规划审批自动化设计与研发,"['电网通道', '自动化审批', '图文一体化', 'Activiti', 'SSM框架']"
基于SSM框架的健康管理系统的设计及实现,"['SSM框架', '健康管理', '. B/S架构', '系统']"
基于SSM框架下残疾家教平台的开发,"['家教平台', 'Vue', 'SSM', 'Java', 'MySQL']"
药店药品信息管理系统的设计及优化,"['Java语言', 'MySQL数据库', 'SSM框架', '药品信息管理']"
基于微信小程序的预约挂号系统设计,"['微信小程序', 'Java', 'SSM', '远程挂号', 'Vue.js']"
大学跳蚤市场网站设计与实现,"['跳蚤市场', '交易系统', '网站设计', 'JSP', 'MySQL']"
同一后台多用户端的数据交互应用开发模型设计与实现,"['JAVA WEB框架SSM开发', '数据交互', 'PC端开发', 'JQuery AJAX', 'JavaScript', '微信小程序开发']"
SSM框架在Web应用开发中的设计与实现研究,"['设计', '实现', 'SSM框架', 'Web应用开发']"
基于分离结果信噪比估计与自适应调频网络的单通道语音分离技术,"['语音分离', '不确定性度量', '噪声鲁棒', '神经网络']"
基于CSCW的高职院校内控管理系统的设计思路,"['系统设计', '内控管理系统', 'CSCW', '设计思路']"
基于SSM的社区健身中心适老化设计策略研究,"['切克兰德软系统方法论(SSM)', '社区健身中心', '适老化设计', '服务设计']"
大学生文化旅游智慧服务系统的设计与实现,"['大学生', '文化旅游', '智慧服务', 'Spring+SpringMVC+MyBatis框架', '爬虫技术']"
基于SSM的环境监测管理系统设计,"['软件管理系统', 'JavaEE技术', '数据采集', '环境监测']"
共同富裕目标下我国低收入群体可持续增收推进机制构建研究基于SSM的分析框架,"['低收入群体', '共同富裕', '可持续增收', 'SSM', '推进机制']"
地铁调试远程监控系统设计与应用,"['地铁远程监控', '移动作业', '多任务操作', '实时采集', '关键参数分析']"
基于Java EE的百年党史思政教育系统设计与实现,"['B/S模式', 'SSM框架', 'Java Web', '百年党史', '思政教育']"
基于SSM框架的高职院校教学办公用品管理信息系统设计研究,"['SSM框架', 'Spring', 'SpringMVC', 'MyBatis']"
基于MVC的母婴用品租赁系统的设计与实现,"['推荐算法', '租赁', 'MVC', 'SSM']"
一种基于SpringBoot的影视内容推荐系统的设计与实现,"['大数据', '影视推荐', 'SpringBoot']"
绿色助农视角下智能垃圾回收及盲盒兑换系统设计,"['智能垃圾回收', '绿色助农', '盲盒兑换', '循环利用']"
基于JSPSSM在线领养猫咪系统的设计与实现,"['SSM', 'MYSQL', 'JSP', '猫咪系统']"
基于SSM框架的二级学院教科研信息共享系统的设计与实现,"['信息共享系统', 'MVC模式', 'SSM框架']"
基于SSM的数字化审计平台的设计与实现,"['数字化审计', '审计监控预警', '数据采集', 'SSM']"
基于SSM框架的B2C电子商城系统的设计与实现,"['B2C电商', 'SSM框架', '分布式', '面向服务', 'redis']"
集成电路测试系统上位机软件设计与研究,"['集成电路测试', '上位机软件', '测试工程', 'Java', 'SSM框架']"
基于JSP计算网络时延的实现,"['JSP', '网络时延', 'TCP', 'SSL']"
基于SSM的房屋租赁系统的设计与实现,"['房屋租赁系统', 'SSM', 'Bootstrap', 'MySQL', 'Java']"
基于SSMVUE框架的企业合规管理系统,"['SSM框架', 'VUE框架', 'MySQL数据库']"
基于SSM的助农荞麦推广短视频网站开发,"['短视频网站', '荞麦推广', '乡村振兴']"
基于SSM架构的专业职业病体检管理系统的设计与实现,"['SSM', '体检管理']"
基于FineReport的信息化报表设计与快速实现,"['FineReport报表', '信息化报表', '数据库', '设计', '实现']"
基于SSM框架的流体力学课程虚拟仿真实验平台设计,"['课程', '流体力学', '虚拟仿真实验平台']"
基于SSM的农业种植管理系统的设计与实现,"['SSM框架', '农业种植管理', '系统设计', '实现方法']"
基于SSM框架的网上摄影系统设计与实现,"['SSM框架', 'Java EE', '摄影系统']"
党史知识竞赛系统的设计与实现,"['历史虚无主义', '历史观', '党史', '知识竞赛', 'SSM框架']"
基于SSM框架和RabbitMQ技术的OJ系统的设计与实现,"['SSM框架', 'RabbitMQ', 'Spring Boot', 'OJ系统', '教学场景']"
网络博物馆参观展览的系统设计,"['SSM框架', 'MySQL数据库', '网络博物馆', 'Java服务页面(JSP)']"
基于SSMVue的赣西傩资源数字化系统设计与实现,"['傩资源', '数字化', '共享', 'SSM框架', 'Vue']"
基于GIS技术的企业铁路安全管控平台的设计与开发,"['铁路安全管理', '地理信息', 'SSM框架']"
软系统方法论的可重复困境及其介入框架探究,"['软系统方法论', '行动研究', '可重复性问题', '边界判定', '系统介入']"
基于SSM框架的智能煤质化验室综合管理系统,"['SSM框架', '智能', '煤质', '化验室', '管理']"
基于SSM的智能仪器云平台异库数据协同检索机制研究,"['智能地球物理仪器', '异库同步数据检索机制', 'SSM', 'MySQL数据库', 'MongoDB数据库']"
基于SSM框架的资质管理系统开发解析,"['SSM框架', '资质管理系统', 'Spring', 'SpringMVC', 'MyBatis']"
基于SSM框架的条形绿茶加工装备信息管理系统设计,"['茶叶加工装备', '信息管理系统', 'SSM']"
从SSM进阶到Spring Boot课程的教学内容设计,"['SSM', 'Spring Boot', '教学内容设计']"
基于SSM的前后端分离式藏文学习系统设计,"['在线学习', '藏语', 'Spring+SpringMVC+MyBatis(SSM)', '前后端分离']"
基于SSM框架的三创计算机实验室开放平台设计,"['SSM框架', '开放平台', '数据库查询']"
图书馆自习室管理系统的设计与实现,"['自习室', 'SSM框架', 'eclipse平台', 'B/S架构']"
一个计算机配件价格查询微信小程序的设计与实现,"['计算机配件价格查询', '微信小程序', 'Java', 'MySQL数据库']"
基于SSM框架的糖尿病性视网膜病变检测管理系统的设计与实现,"['SSM', '管理系统', '信息处理', '医学诊断']"
基于物联网技术的智慧体育馆系统设计与实现,"['智慧体育馆', 'MQTT', 'SSM', 'Bootstrap', 'Android', 'PyQt5']"
基于SSM框架的奖学金评定管理系统设计,"['SSM框架', '学生奖学金', '评优工作', '管理系统']"
基于WebGL的监测信息三维全景展示平台研究,"['WebGL', 'Panorama.js', '大坝', '监测数据', '网页端', '可视化']"
基于Spring BootVue的场地预约管理系统的设计,"['管理系统设计', 'Spring Boot', 'Vue', '场地预约']"
基于SSM的校园常态化防控管理信息系统研究与设计,"['常态化防控', 'Spring', 'BootStrap', '管理信息系统', '数据可视化']"
疫情防控背景下的亲子教育平台设计与实现,"['亲子教育', 'MVC模式', 'SSM框架', '疫情防控', '亲子互动']"
汽车零部件采购平台的设计与实现,"['汽车零部件采购平台', 'SSM框架', 'MVC模式']"
基于SSM框架的新型可视化食堂管理系统,"['食堂管理系统', 'SSM', 'AdminLTE', 'My SQL']"
密集通道智慧管控系统的设计与实践,"['密集通道', '智慧管控系统', '多维数据']"
基于互联网模式下云端农场的设计与开发,"['云端农场', '闲置土地', '互联网+', 'SSM', 'VUE', 'FFmpeg']"
智慧社区管理平台构建研究,"['智慧社区', '智慧物业', '智慧养老', '社区电子商务']"
基于SSM框架的在线排班系统与开发,"['高校排班系统', 'SSM框架技术', 'Java Web技术']"
基于SSM框架的IT知识学习交流平台的设计与实现,"['SSM框架', '学习交流平台', 'SpringMVC']"
基于小程序的校园服务平台的设计和实现,"['校园服务平台', '微信小程序', 'SSM框架']"
异构应用系统的数据桥接模型的设计和应用,"['数据交互', 'Web技术', 'SSM框架', '数据结构']"
赠品发放跟踪管理系统的设计与实现,"['软件工程', '赠品发放', '跟踪管理', 'SSM框架']"
基于SSM架构的图书管理系统,"['SSM框架', 'LayUI', '管理系统', 'MySQL']"
基于微信小程序的高校办公室管理系统设计与实现,"['办公室管理', '微信小程序', 'SSM', 'MVVM']"
基于深度学习人脸识别的智慧课堂考勤系统,"['人工智能', '深度学习', '人脸检测', '人脸匹配', 'VUEJS', 'SSM', '智慧课堂', '智能考勤']"
社区居民心理健康服务平台设计与实现,"['心理健康', 'MySQL', 'SSM框架', 'uni-app', '数据库']"
基于SSM的自治区药检院综合数据库管理系统的设计与实现,"['SSM框架', 'MySQL', '后台管理系统']"
基于TOMCAT服务器的宿舍群智能管理平台系统设计,"['宿舍群', '智能宿舍', '智能分寝', 'Tomcat服务器', 'KSNN-Chameleon算法']"
基于物联网的实验室信息化管理系统设计与实现,"['物联网', '信息采集装置', 'YOLOv4算法', '信息化管理平台']"
Y银行智慧柜台系统的设计与实现,"['SSM框架', '智慧柜台', '流程再造', '国密算法']"
中国标准动车组单车数字化调试系统的设计与实现,"['单车调试', 'Java', 'SSM', '数字化']"
