标题,关键字
基于知识图谱的信息系统接口管理体系研究和实践,"['知识图谱', '接口管理', 'Neo4J', '自动化巡检']"
Django框架在海洋平台甲板片建造管理中的应用研究,"['海洋工程', '数字化', 'python', '项目管理']"
海南地球物理站网运维辅助平台系统的设计与实现,"['Django', 'Python', 'Virtualenv', '辅助平台', '备份', '运维']"
智能虚拟试穿系统的设计与实现,"['深度学习', '虚拟试穿', 'Django', '前后端']"
基于Django的网络招聘数据可视化分析系统的设计与实现,"['Django', '网络招聘', '数据分析', '可视化分析系统']"
基于Python的个性化在线学习系统的设计与实现,"['Python', 'Django', '在线学习', '个性化推荐', '协同过滤']"
Django框架下的用户鉴权机制分析与研究,"['用户鉴权', 'Django框架', '身份验证']"
基于SDVN的RSU负载均衡系统,"['RSU', '负载均衡', 'SDN']"
Python程序设计课程的教学实践,"['计算机技术', '程序设计', 'Python', '数据挖掘']"
基于RFID技术的物联网农产品质量安全管理系统的设计与实现,"['RFID', '物联网技术', '农产品质量安全', 'Django']"
在线测评系统的设计与实现,"['在线测评', '异步消息队列', '子进程', 'Django']"
Django静态文件管理机制及最佳使用策略研究,"['Django', '静态文件', '管理机制', '使用策略']"
基于Python Django框架的协同办公管理系统构建,"['协同办公系统', 'Django', '数据库']"
基于Django的管线试压包状态跟踪系统在FPSO建造中的应用,"['FPSO', '管线试压包', 'Django']"
基于Django的数据分析系统设计与实现,"['Python', 'Django框架', '权限管理', '数据分析']"
基于海康威视WEB无插件的视频监控系统设计,"['视频监控', 'Django框架', 'HTML5', 'nginx']"
基于大数据的SPOC学习评价系统的开发分析,"['大数据', '学习评价系统', 'Python+Django框架', '多维度学习评价', 'MTV模型']"
柑橘病虫害上报及预测系统,"['柑橘病虫害', '上报系统', '预防']"
基于Django的高校教师绩效工作量系统研究,"['Django框架', '高校教师', '绩效工作量', '管理员端']"
人脸识别智能寄存柜系统,"['人脸识别', '微信小程序', '数据库']"
瑜跃舞动太极魔盒,"['智慧养老', '太极', '老年人社交', '计算机视觉', '微信小程序']"
基于Django的交通事故数据可视分析系统设计与实现,"['Django', '交通事故', 'Web网站', '可视分析']"
基于实时Web技术的车间监测系统设计与实现,"['智能制造', '监测可视化', '实时在线系统', 'WebSocket长连接', 'Django框架', 'Vue双向数据绑定']"
基于大数据分析与人工智能的智慧就业推荐系统设计与实现,"['就业推荐', '毕业生画像', '协同过滤', 'Django']"
医学院校Python课程在线评判系统的研究和建设,"['分布式评测系统', 'Django', 'Docker容器', '医学院校程序设计类课程']"
基于Django的吉比特无源光网络ONT自助装机软件设计,"['Django', '吉比特无源光网', 'ONT', '接口协议', '自助装机软件']"
基于Django框架的Python课程在线教育平台设计,"['Django框架', 'Python课程', '在线教育平台', '设计']"
基于Django和Python技术的网站设计与实现,"['Django', 'Python', 'MySQL', '网站设计与实现']"
基于Python 和Django实现同位素电磁分离技术信息化系统,"['Python', 'Django', '电磁法', '同位素', '信息化']"
设计开放式项目  培养核心素养  增强项目学习实效以用Django开发网络版图书管理系统项目学习为例,"['开放式项目', '核心素养', '信息系统', 'Django', '信息技术']"
基于openEuler的项目管理系统的设计与实现,"['项目管理', '工作流', '生命周期', 'openEuler']"
社交网络社区发现算法的隐私安全研究,"['社交网络', '差分隐私', '区块链', '社区发现', '强关联']"
基于Django的放射治疗流程管理系统的设计与实现,"['Django', '放疗流程管理', '信息化', 'Web']"
基于Web的纺织面料检索系统的设计与实现,"['纺织面料', '检索系统', 'B/S架构', 'Django', 'Vue']"
基于Djongo的制丝车间备件管理系统的设计与实现,"['Django', 'ORM', 'Python', '数据库', '制丝车间']"
基于科技创新能力研究的创新生态数字化展示系统,"['科技数据', '创新要素', '创新生态', '可视化', '决策服务']"
基于深度学习的果蔬识别与定位软件系统研究与实现,"['神经网络', '识别和定位', 'unapp', 'Dango']"
基于遗传算法的智能组卷考试系统研究与实现,"['遗传算法', '定向交叉', '智能组卷', 'Python', 'Django']"
面向内容提供服务的音频共享平台设计与实现,"['Django', '音乐平台', '智能作曲', '推荐系统']"
基于深度学习的金融市场高频交易数据波动率预测的研究与应用,"['波动率预测', '不稳定注意', '强化学习', '降噪自动编码']"
基于深度学习的金融市场波动率预测研究及应用,"['金融波动率预测', '反事实', 'Transformer', '时间序列分解']"
基于自注意力机制的个性化课程推荐系统的研究与实现,"['注意力机制', '个性化课程推荐', '深度学习', '用户兴趣建模']"
大坝缺陷识别系统设计与实现,"['大坝缺陷', '目标识别', 'TensorFlow', '迁移学习', 'Django']"
基于Django的网络学习平台的开发与应用,"['网络学习', 'Django', '教育信息化', '项目部署']"
基于深度跨模态哈希的农业科技知识网站,"['农业科技知识网站', '跨模态哈希检索', '深度神经网络', 'Django', 'MySQL']"
基于Python的在线考试系统设计与实现,"['教育', 'Python', 'Django', '在线考试系统']"
数据可视化技术在能碳管理系统中的应用,"['数据可视化技术', '能碳管理', '软件系统']"
基于Django的勤工俭学工资申报系统,"['Django框架', 'MVT设计模式', 'oauth2.0接口', '勤工俭学工资申报系统']"
基于深度学习的心律失常分类系统设计,"['深度学习', '心律失常', 'Django', '云服务器']"
基于Django框架的电影推荐系统的设计与实现,"['混合推荐', '电影推荐', '协同过滤算法', '设计']"
基于Django的企业门户网站的设计与实现,"['Python', 'Django框架', '门户网站', 'Bootstrap框架']"
基于LNMP架构实现的智联云系统,"['LNMP架构', '线上教学测评', 'Django', 'Vue', '现代化', '智能化']"
一种分布式Online Judge系统设计与实现,"['Online Judge', 'Django', 'Python3', 'Docker', '分布式系统']"
基于Django的智慧养老系统设计,"['高龄社会', '照顾服务', '人工智能', '物联网']"
基于Bootstrap和Django框架的Web计算器的设计与实现,"['Bootstrap框架', 'Django框架', 'Web计算器', '栅格系统', '访问路由']"
基于区块链的自动化测试平台研究和实现,"['UI自动化测试', 'Airtest', '区块链', '智能合约']"
瑜跃舞动太极魔盒,"['智慧养老', '太极', '老年人社交', '计算机视觉', '微信小程序']"
基于知识图谱的医疗智能对话机器人,"['知识图谱', '问答系统', '自然语言处理', 'Apache-jena', 'Django框架']"
基于SVM的数字识别系统设计,"['手写数字识别', '支持向量机', '核函数']"
基于ESP32的远程家居控制系统设计,"['ESP32', '智能家居', 'VUE', 'Django']"
基于Django框架的江西地震目录数据可视化系统设计及实现,"['Django', 'Echarts', '可视化', '地震目录']"
基于云平台的锻压机床状态监测与故障诊断系统研究,"['锻压机床', '状态检测', '故障诊断', '云平台', '智能算法']"
智能水墨动画绘制系统的设计与实现,"['水墨动画', '风格迁移', 'Django', '在线画板']"
昆汀塔伦蒂诺电影中的反事实历史叙事探究,"['昆汀·塔伦蒂诺', '反事实历史叙事', '银幕记忆', '魔幻叙事', '乌托邦实践']"
一种安全可信的项目全生命周期管理系统设计,"['生命周期', '项目管理', '信息安全', 'SM3']"
人脸识别智能寄存柜系统,"['人脸识别', '微信小程序', '数据库']"
程序化交易策略回测系统的设计与实现,"['回测系统', '事件驱动', '程序化交易']"
基于机器学习的大豆病害识别方法及系统开发研究,"['大豆', '病虫害识别', '卷积神经网络', 'Django']"
RRAM测试数据自动化分析系统的设计,"['阻变存储器', '自动化分析系统', '数据分析', '可视化', 'Django框架', 'Vue框架']"
基于深度学习的尿沉渣图像分析系统,"['尿沉渣检测', '图像分割', '图像分类', '深度学习']"
基于协同过滤的影视推荐系统设计与实现,"['协同过滤', '基于邻域推荐', '惩罚因子', '影视推荐']"
基于Django的智能货梯系统设计,"['Django', '智能货梯', 'STM32']"
美术资源共享服务网站的设计与实现,"['Django框架', 'Python语言', '美术资源', '美术教育', '交易平台']"
基于深度学习的辅助证券投资方法研究与实现,"['证券价格趋势预测', '投资组合策略', '多智能体强化学习', 'Django']"
新闻系统的设计与实现,"['新闻系统', '协同过滤算法', 'Django', 'SQLite']"
一种协同养蚕分配模式管理系统设计与实现,"['管理系统', '蚕茧', '协同养蚕分配模式', '忻城模式', 'Android', 'APP']"
基于Django的中国红色旅游推荐系统的设计与实现,"['Django', '中国红色旅游推荐系统', '乡村振兴', '开发步骤']"
基于SQLite数据库的学生社团管理系统设计与实现,"['计算机系统', '管理系统', 'Django', 'Python', 'HTML', 'Bootstrap']"
基于扫码装置的汽车实训工器具借还管理系统设计,"['工器具管理', '二维码', 'RFID', 'Django', '出入库', '优化']"
Python语言在Web数据挖掘中的应用,"['Python语言', 'Web', '数据挖掘']"
智能化用电信息采集系统研究设计,"['信息采集系统', '智能化', 'Python', 'MVC架构', '评价体系']"
一种基于区块链的高校共识管理平台的设计,['nan']
基于LoRa和Django框架的输液泵监测系统设计与实现,"['输液泵监测系统', '低功耗广域网', 'LoRa', 'B/S架构', 'Django']"
基于大数据的冷轧深加工产品研发与质量管控一体化平台开发,"['产品研发', '性能预测', '成本测算', '过程质量控制', '自动判级', '大数据', '人工智能', 'Python', 'TensorFlow', 'Django']"
基于FlaskWebhook技术的观影问卷调查数据收集方案设计,"['Flask', 'Webhook', '观影问卷调查']"
基于Python的校园交易平台设计,"['Python', 'Django框架', 'MySQL数据库', '交易平台']"
行动的消解与个体的回归2000年以后的当代西部片,"['西部片', '环境', '行动', '记忆', '下降螺旋']"
一个基于树莓派的火灾监测报警系统的设计与实现,"['传感器', '树莓派', 'Django框架', 'mosquitto', '微信公众号']"
基于Django大学生网络空间安全攻防实践教学平台的设计与研究,"['网络安全', '攻防实践教学平台', 'Django框架']"
基于前后端分离架构的智慧农业物联网系统设计,"['物联网系统', '智慧农业', '前后端分离', 'NB-IoT', '信息感知', '数据可视化', '异常告警']"
基于Django的高校后勤库存管理系统设计实现,"['Django', '库存管理', '信息化', 'Web']"
基于微信知识图谱和智能问答的自助挂号系统,['nan']
基于窄带物联网的图书馆座位智能管理系统设计,"['窄带物联网', 'Django', 'Arduino', '座位智能管理']"
基于PYTHON开发的IP管理系统,"['Python', 'IP管理系统', 'Django', 'SNMP']"
基于Django框架的高校就业信息可视化平台的设计与实现,"['微信小程序', '信息可视化', 'Django框架', '爬虫']"
双轮驱动创新培养数智化人才,['nan']
基于Django与Vue的农产品质量追溯管理平台,"['Django', 'Vue', '农产品质量安全', '追溯管理平台', '前后端分离']"
临床大数据挖掘与人工智能建模云平台的研究与构建,"['临床研究', '医疗大数据', '机器学习', '人工智能', '数据挖掘', '云平台']"
基于Django的鱼类目标识别与分类系统的设计与实现,"['鱼类分类', 'Django', 'YOLOv5s', 'ResNet50']"
基于微信公众平台的最受欢迎十大教师评选系统的开发与实现,"['评教系统', '微信开发', '云服务']"
基于深度学习的羊群密集计数应用系统设计,"['密集计数', '羊群计数', '深度学习', '卷积神经网络', '生成对抗网络']"
于无声处见真章  趣谈标致摩托的品牌文化构建历程,['nan']
基于MVT与BS架构的医学图像处理平台的研究,"['医学图像处理', '平台设计', 'Python', 'B/S架构', '特征计算']"
基于预训练语言模型的无监督文本简化研究与应用,"['文本简化', '预训练语言模型', '词嵌入模型']"
蛋白配体动态相互作用分析系统的设计与实现,"['蛋白-配体相互作用', '轨迹分析', '3D可视化', '网站服务']"
基于混合时频域特征与深度学习的心律失常分类方法研究与实现,"['心电图', '时频域分析', '心律失常分类', '卷积神经网络', 'Django']"
基于深度学习的肺结节检测方法研究与应用,"['目标检测', '数据增强', '上下文感知网络', 'Django', '肺结节检测']"
基于改进YOLOv4的猪脸检测模型研究及系统实现,"['猪脸检测', 'YOLOv4', 'DenseNet', 'RFB', '嵌入式']"
基于MQTT的溶解氧预测及管理系统的设计与实现,"['水产养殖', '溶解氧预测', 'MQTT', '无线传输', '管理系统']"
基于多元灰色模型的电子固废产生量预测,"['电子废弃物', '多元灰色模型', '混合智能建模', '保有量预测', '幂指数优化多元灰色模型']"
基于LoRa的牧草太阳能干燥设备无线监测系统的设计与实现,"['监测系统', 'LoRa', 'MicroPython', 'Django']"
基于随机森林算法的跌倒风险预测系统设计与研究,"['跌倒评估', '随机森林算法', '跌倒风险预测系统']"
大学生作业与考试智能化平台中动力学部分的研制,"['动力学定理的程序化', '动力学题库', '题目分类', '大学生作业与考试智能化平台']"
基于物联网的智慧农场管理系统,"['物联网', '现代农业', '牲畜图像分类', '数据库管理', '软件开发']"
利用Nornir框架快速开发FTTH终端运维查询系统,"['NetDevOps', 'Django', 'Nornir', 'TextFSM', 'ORM']"
基于Kcore的图分解TextRank关键词提取技术的研究与应用,"['关键词', 'TextRank', 'K-Core', 'G1赋权法', '图分解', '电商评论数据']"
基于物联网的正压生物防护服实时感知与可视化系统研究,"['物联网', '个体防护装备', '正压生物防护服', '传感器', '微信小程序']"
基于深度学习的责任审计系统研究,"['信息检索', '深度学习算法', '卷积神经网络']"
基于移动终端的马匹竞拍APP设计与实现,"['马匹竞拍APP', 'Django Rest Framework', 'Flutter', 'Dart', 'Python']"
基于学术领域影响力的期刊审稿专家精准化推荐,"['同行评审', '审稿专家遴选', 'LDA', '信息检索', '精准化推荐']"
面向智慧育种的大豆表型数据平台系统研发,"['计算机视觉', '算法', '大豆育种', '表型数据平台系统', '农业信息化']"
水库安全管理文档质量评估系统设计与实现,"['水库安全管理', '文档质量评估', '词频', '结巴分词', 'Django']"
便携终端远程管理系统设计与实现,"['便携终端', '远程管理', '监控平台', 'CAT.1', '后台管理系统', 'Django']"
基于MVC模式与MySQL的信息咨询服务系统设计与实现,"['信息咨询服务', '检索平台', '机器学习', 'MVC模式', 'MySQL']"
基于知识图谱的旅游路线推荐系统,"['知识图谱', '数据挖掘', '序列挖掘', '路线推荐', '微信小程序']"
面向汽车热冲压件生产企业的仓储管理系统,"['仓储管理系统', '汽车零部件生产', '仓储计划', '数据可视化', 'Python', 'Django']"
基于深度学习的驾驶员行为分析系统设计与实现,"['驾驶行为分析', '残差神经网络', '坐标注意力', 'Django框架', 'MTCNN']"
多业务系统与工作流引擎交互的中间件系统设计与实现,"['智慧校园', '流程引擎', '数据交换', '中间件系统']"
智能网联汽车交通安全监测系统的设计与实现,"['交通安全', 'YOLOv4', '轻量化', 'Django']"
基于容器技术的安卓虚拟机平台的设计与实现,"['安卓', '虚拟化', '云计算']"
城市无人机防御管理系统的设计与实现,"['无人机', '防御系统', 'Django', 'MQTT']"
基于神经网络的信贷交易风险评估系统的研究与实现,"['信贷风险评估', '非平衡数据集', '神经网络', '残差网络', '用户画像']"
产业经济信息管理云平台的设计与实现,"['产业经济', '微服务架构', '多租户', '数据采集', '数据生成']"
面向封闭复杂域业务咨询的社会化问答系统的研究与实现,"['封闭复杂域', '业务咨询', '社会化问答系统', '相似问题', '敏感词']"
基于深度学习的睡眠呼吸暂停综合征诊断模型研究,"['睡眠呼吸暂停综合征', '深度学习', '卷积神经网络', '残差神经网络', '血氧饱和度信号']"
基于Rasa的领域对话系统的实现与优化,"['任务型对话系统', 'Rasa框架', '对话管理', '自然语言理解']"
基于Django的山体滑坡监测系统设计与实现,"['山体滑坡', '监测系统', 'Django', '随机森林', '可视化']"
基于文本挖掘的施工质量问题防治知识抽取,"['施工质量', '文本挖掘', '关联规则挖掘', 'Django框架']"
基于神经网络的玉米水肥智能决策系统软件开发研究,"['玉米', '智能决策', '系统', '优化算法', '神经网络']"
基于知识图谱的设备隐患管理系统的研究与设计,"['设备隐患', '知识图谱', '知识图谱构建', 'Neo4j图数据库', '知识推理方法', '图谱可视化']"
基于Django的肉羊遗传评估系统的设计,"['肉羊', '信息管理', '遗传评估', 'Django', 'Python', 'sommer']"
面向RRAM测试数据的自动化分析系统设计,"['阻变存储器', '自动化分析系统', '数据分析与可视化', 'Django框架', 'Vue框架']"
基于通信历史的邮件自动加密认证系统实现和设计,"['邮件加密', '用户友好', '可抵赖性', '动态密钥']"
基于Robot Framework的API接口自动化测试系统的设计与实现,"['接口自动化测试', 'Django', 'Robot Framework', '自定义关键字']"
基于Docker的智能云平台系统的设计与实现,"['云计算', 'Docker', 'Vue', 'Django', '人脸识别', '数据检索']"
一种基于Python的图书馆自习室管理系统,"['Python', '图书馆自习室', 'Django框架', 'Vue框架', '管理系统']"
基于Django的鱼类识别微信小程序设计与实现,"['鱼类识别', '微信小程序', '识别功能', 'Django']"
基于Django和Thrift框架的在线联机游戏的设计与实现,"['Django', 'Thrift', '联机', '游戏']"
基于WebGIS的滑坡监测数据管理分析系统设计与实现,"['Web GIS', '滑坡监测数据', '系统设计', 'Django', 'ARIMA']"
基于Django框架的肉羊遗传评估系统的设计,"['肉羊遗传评估', '信息管理', 'Python', 'Django框架', 'Sommer包']"
企业信息系统运维安全审计系统研究,"['运维安全', '安全审计', '身份认证', '访问控制', '操作权限']"
基于Django的Web自动化测试平台的研发与应用,"['Web应用', '自动化测试平台', 'Django', 'Selenium']"
智库文本辅助系统研究与应用,"['智库文本', '语义相似度计算', '预训练语言模型', '多路召回', '近似最邻近搜索']"
基于声纹识别的会议音视频解析系统的设计与实现,"['声纹识别', '语音分割', '深度学习', 'B/S架构', '会议音视频解析']"
拟南芥抗旱蛋白分类方法研究与平台构建,"['拟南芥抗旱蛋白', '集成分类器', '特征重要性', '蛋白质研究平台']"
微机原理与接口技术虚拟仿真实验教学系统的研究与实现,"['微机原理', '接口技术', '虚拟实验', 'Unity']"
基于物联网的高校教室数据采集管理系统设计,['nan']
基于微信小程序的西院格子校园服务平台,"['校园服务', '微信小程序', 'Django', 'Ubuntu']"
基于数据挖掘的高校学生行为分析平台的构建,"['数据挖掘', '学生行为分析', '预测预警', 'Python', 'Django']"
基于Python的在线通信原理仿真实验平台,"['在线通信仿真', '数字调制系统', 'Django', 'Python']"
基于联邦学习的快递业务路径规划系统研究与实现,"['联邦学习', '快递配送', '路径规划', 'TSP']"
面向智慧牧场的多关键要素可视化分析,"['可视化分析', '数据挖掘', '关联规则挖掘', '聚类', '可视化系统']"
基于PythonDjango的电台播出设备维护系统设计与实现,"['Python', 'Django', '播出设备', '维护系统']"
一个基于文本智能生成图像技术的英语在线阅读系统的设计与实现,"['人工智能', '文本生成图像', '系统设计', '在线阅读']"
