标题,关键字
基于Spring框架的采购管理系统设计与应用,"['B/S架构', '采购管理', '采购活动', '全生命周期', '互联互通']"
面向叶片机械自动设计平台软件架构研究,"['自动设计软件平台', '叶片机械', 'MySQL数据库', 'Spring框架', '二次开发']"
SSM框架在Web应用开发中的设计与实现研究,"['设计', '实现', 'SSM框架', 'Web应用开发']"
基于区块链技术的企业人力资源信息共享系统,"['区块链技术', '人力资源', '信息共享', '决策算法']"
基于SSM的数字化审计平台的设计与实现,"['数字化审计', '审计监控预警', '数据采集', 'SSM']"
基于SSM框架的B2C电子商城系统的设计与实现,"['B2C电商', 'SSM框架', '分布式', '面向服务', 'redis']"
高校远程查档系统的设计与实现,"['远程查档', '档案利用', '软件开发', 'Spring框架', 'Hibernate框架']"
基于大数据时期的计算机设备信息管理软件的设计,"['大数据', '计算机', 'B/S架构', '信息管理']"
基于SSM框架的在线排班系统与开发,"['高校排班系统', 'SSM框架技术', 'Java Web技术']"
基于智慧社区的手机律师服务平台设计与实现,"['智慧社区', '社区律师', '面向服务技术', 'Spring框架', 'TFLCRA推荐算法']"
高压输电线工况综合监测系统设计与实现,"['高压输电塔', 'STM32', 'LoRa', 'TDMA', '温差发电', '超低功耗']"
变电站站控层流量异常分析系统的设计与实现,"['异常流量分析', 'CNN+LSTM', '数字化变电站', '站控层']"
合成材料面层场地检测管理系统设计,"['合成材料面层', '检测管理', '智能化', '系统设计']"
以J2EE为基础的SSH框架及其在HRMS中的实践,"['J2EE基础', 'SSH框架', 'HRMS实践应用', '信息化建设', '优化策略']"
基于企业微信的校园移动办公平台的设计研究,"['数字校园', '企业微信', '智慧校园', '移动门户']"
继保压板状态图像识别与核对系统设计和实现,"['继电保护压板', '图像识别', '自动核对系统', 'YOLO', 'Spring框架', 'VueJS']"
典型Java Web开发框架模型的研究,"['Java Web框架开发', 'MVC分层', 'JSP/Servlet', 'SSH', 'SSM']"
基于WebGIS的地理信息公共服务平台,"['WebGIS', '地理信息公共服务平台', 'Spring框架']"
社区团购快递信息管理系统设计与实现,"['SpringMVC框架', '微信小程序', '快递信息管理', 'MySQL数据库', '腾讯云服务器', '腾讯位置服务SDK']"
浅论SSM框架在构建微农信息服务中的应用,"['农业', '农产品', '信息技术', '移动开发', '数据持久化']"
基于影像数据的医院科研云系统的设计与实现,"['医院科研云系统', '影像数据', '算法引擎', '算法服务', '模型管理']"
智能化功率封装数据库管理系统,"['智能化', '功率芯片封装', '信息系统设计', '数据库', 'B/S架构']"
一站式点餐网站的设计与实现,"['B/S', 'Struts2', '电子商务', 'Spring', 'Ajax']"
基于SpringbootVue的精准帮扶系统研究与实现,"['Spring', '帮扶系统', '数据可视化']"
基于腾讯云的云记事本系统设计与研究,"['腾讯云', 'SSM', '云存储', 'MVC设计模式', '大数据']"
基于Spring和MyBatis框架的阅读网站的设计与研究,"['Spring', 'MyBatis', '阅读网站', '技术要点', '系统设计方法']"
Java EE应用开发框架课程内容的优化,"['Java EE应用开发框架', '软件教育', '课程内容优化', 'SSM教学']"
SSM框架在Web应用开发中的设计与实现,"['SSM框架', 'Web开发', '实现']"
